线别,模块,条目,状态,最少关键词,下一步,Git文件
八股,JavaScript,JS底层全套,未上场,执行上下文 作用域 this 原型 闭包 事件循环,拆成更细的问题卡并补一轮复述,bagu/javascript/01-JS底层全套.md
八股,浏览器,输入URL到页面显示-导航-RenderNG-Viz,未上场,URL导航 渲染进程 RenderNG 合成 Viz,提炼成标准回答链路,bagu/browser/01-输入URL到页面显示-导航-RenderNG-Viz.md
八股,React,React Hooks 底层与规则,未上场,调用顺序 Fiber 链表 闭包 副作用,拆出 hooks 规则和底层机制,bagu/framework/react/01-React-Hooks-底层与规则.md
八股,React,SSR与CSR的区别,未上场,首屏 SEO 水合 交互时机 部署形态,补一版对比型回答模板,bagu/framework/react/02-SSR与CSR的区别.md
八股,React,next原理,未上场,路由 渲染策略 数据获取 工程约束,重写成渲染链路和工程收益两部分,bagu/framework/react/03-next原理.md
八股,React,组件设计通用心法-Select与AutoComplete,未上场,API 状态 交互 A11y 测试,沉淀固定心法+伪代码+通用追问,bagu/framework/react/04-组件设计通用心法-Select与AutoComplete.md
八股,Vue,Vue2 vs Vue3 响应式,未上场,Object.defineProperty Proxy 依赖收集 对比,整理成 React 对比补充卡,bagu/framework/vue/01-Vue2-vs-Vue3-响应式.md
手写,JS,事件通信-商品列表diff-请求去重缓存超时(小红书暑期笔试),未上场,event emitter diff 去重 cache ttl,按题型拆思路和边界,coding/js/01-前端手写题-事件通信-商品列表diff-请求去重缓存超时(小红书暑期笔试).md
手写,JS,事件通信-商品列表diff-请求去重缓存超时,未上场,event emitter diff promise cache timeout,合并重复题干并补口述模板,coding/js/01-前端手写题-事件通信-商品列表diff-请求去重缓存超时.md
手写,JS,数组判断-原生DOM-TodoList-两栏布局-字符串加法,未上场,类型判断 DOM 列表 布局 大数加法,优先拆出字符串大数相加独立卡,coding/js/02-前端手写题-数组判断-原生DOM-TodoList-两栏布局-字符串加法.md
手写,React,useControlledValue Hook,未上场,isControlled mergedValue setValue onChange,整理成秒写卡并补受控非受控追问,coding/react/01-useControlledValue.md
手写,JS,并发Token刷新-锁与等待队列,未上场,isRefreshing queue refresh replay,整理伪代码+失败兜底+重试标记,coding/js/03-并发Token刷新-锁与等待队列.md
项目,AI项目,AI提效与文档生成闭环,未上场,Spec AI初稿 校验 Review 回归,整理成AI工具使用面试话术,project/ai-project/topics/10-AI提效与文档生成闭环.md
项目,AI项目,AI Coding 复杂页面 Agent 化交付,未上场,Spec 上下文 工具调用 验证 回归,提炼成项目故事线与追问,project/ai-project/topics/01-AI-Coding-复杂页面-Agent化交付-以百度搜索页为例.md
项目,AI项目,CLI MCP SKILL 概念辨析与层级关系,未上场,CLI 编排 MCP 工具 Skill 知识,收束成体系图和答法,project/ai-project/topics/02-CLI-MCP-SKILL-概念辨析与层级关系.md
项目,AI项目,CLI底座 Agent 怎么调系统,未上场,系统调用 沙箱 命令执行 权限 环境,提炼执行链路与工具边界,project/ai-project/topics/03-CLI底座-Agent怎么调系统.md
项目,AI项目,MCP 协议 Agent 怎么标准化连接工具,未上场,协议标准 tools resources prompts 客户端,整理成协议价值和工程落地问答,project/ai-project/topics/04-MCP协议-Agent怎么标准化连接工具.md
项目,AI项目,MCP 实战 写一个 D2C 的 MCP Server,未上场,D2C server schema tool 调用 返回,抽成项目案例和接口设计问答,project/ai-project/topics/05-MCP实战-写一个D2C的MCP-Server.md
项目,AI项目,SKILL 原理 Agent 怎么获取领域知识,未上场,触发规则 上下文注入 领域知识 复用,整理成知识注入机制说明,project/ai-project/topics/06-SKILL原理-Agent怎么获取领域知识.md
项目,AI项目,SKILL 写作 怎么写好一个 SKILL,未上场,边界 触发词 workflow 资源 约束,转成可复用方法论,project/ai-project/topics/07-SKILL写作-怎么写好一个SKILL.md
项目,AI项目,SKILL 分类实践 入口型业务型工作流型风控型,未上场,入口 业务 工作流 风控 分层,整理成分类框架和例子,project/ai-project/topics/08-SKILL分类实践-入口型-业务型-工作流型-风控型.md
项目,AI项目,编排与闭环 Skill MCP CLI 怎么协作,未上场,编排 闭环 工具 协议 验证,抽成系统设计主讲稿,project/ai-project/topics/09-编排与闭环-Skill-MCP-CLI怎么协作.md
